beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price,purchased
3,3,2850,sqft,4200,sqft,98119,1175000,Yes
4,5,3040,sqft,5002,sqft,98106,1057500,No
3,1,1290,sqft,6048,sqft,98125,799000,Yes
3,2,2360,sqft,0.28,sqft,98188,565000,No
3,3.5,1942,sqft,1603,sqft,98107,1187000,Yes
2,2,963,sqft,4753,sqft,98122,701000,Yes
1,1,756,sqft,,sqft,98105,480000,No
4,6,3300,sqft,5810,sqft,98199,1795000,No
4,2,2060,sqft,4206,sqft,98144,1025000,Yes
1,1,672,sqft,,sqft,98122,450000,Yes
3,2.5,1760,sqft,3630,sqft,98122,1135000,No
1,1.5,924,sqft,,sqft,98121,568000,Yes
3,2,2500,sqft,5000,sqft,98136,648000,No
2,2,1800,sqft,0.72,sqft,98199,699950,No
1,1,574,sqft,,sqft,98104,429950,No
2,2,2241,sqft,1.09,,98112,2450000,No
3,1.5,2320,sqft,4000,,98109,1275000,No
2,2,1415,sqft,,,98125,449000,No
3,1.5,1750,sqft,2460,,98102,925000,No
3,3,2340,sqft,6640,,98126,974898,Yes
4,2,1690,sqft,0.32,,98168,550000,Yes
3,2.5,2320,sqft,3500,,98103,1175000,Yes
2,1,1760,sqft,5000,,98116,700000,Yes
1,1,685,sqft,,,98121,570000,Yes
2,2,946,sqft,3250,sqft,98103,690000,Yes
3,2,1610,sqft,3060,sqft,98146,540000,No
3,1,1390,sqft,3774,sqft,98105,450000,No
2,1,1620,sqft,6600,sqft,98178,487639,No
4,2.5,2010,sqft,6000,sqft,98136,982000,No
2,1.5,890,sqft,2875,sqft,98146,510000,No
2,2,964,sqft,3.97,sqft,98126,512500,No
2,1,980,sqft,2226,sqft,98144,598000,No
4,4,3310,sqft,4313,sqft,98116,1215000,No
2,1,840,sqft,4263,sqft,98146,485000,Yes
2,2,1878,sqft,,sqft,98115,515000,Yes
3,2,1910,sqft,2000,sqft,98109,1090000,Yes
2,1,900,sqft,4066,sqft,98133,474000,Yes
3,2,2210,sqft,7200,sqft,98118,1425000,Yes
3,2.5,2168,sqft,,sqft,98119,1700000,No
3,2,2760,sqft,4800,sqft,98105,1235000,No
2,2.5,2760,sqft,3.06,sqft,98105,1440000,No
2,2.5,1291,sqft,793,sqft,98144,680000,No
7,6,3780,sqft,5020,sqft,98119,1210000,No
4,3,2190,sqft,4000,sqft,98112,1685000,No
4,3.5,4027,sqft,0.3,sqft,98199,2170000,No
4,2.5,3410,sqft,9602,sqft,98125,1700000,No
5,2,2470,sqft,3880,sqft,98107,905000,No
3,2,1850,sqft,3880,sqft,98117,890000,No
4,3,2430,sqft,5160,sqft,98106,995000,No
2,2,1395,sqft,797,sqft,98199,751849,No
2,1.5,1290,sqft,5100,sqft,98117,869000,Yes
4,1,1485,sqft,6050,sqft,98178,500000,Yes
1,1,718,sqft,0.65,sqft,98115,525000,Yes
3,2.5,2220,sqft,8353,sqft,98177,1350000,Yes
2,2,899,sqft,,sqft,98103,587000,Yes
2,1,785,sqft,,sqft,98102,470000,No
3,3,2225,sqft,,sqft,98101,2850000,No
3,2,1648,sqft,6250,sqft,98126,765000,No
5,3,1840,sqft,5415,sqft,98115,650000,No
3,2.5,1785,sqft,1500,sqft,98144,850000,Yes
3,1.5,1520,sqft,9405,sqft,98136,1200000,Yes
3,1.5,1460,sqft,0.25,sqft,98168,410000,Yes
2,2,1656,sqft,,sqft,98115,642000,Yes
3,1.5,1690,sqft,4226,sqft,98105,625000,Yes
4,2.5,3200,sqft,0.28,,98118,1100000,No
2,2,1030,sqft,4507,,98112,825000,No
3,2.5,1220,sqft,1095,,98109,900000,No
3,2,1330,sqft,2875,,98126,705000,No
2,1,877,sqft,4.06,,98146,350000,No
2,2,1254,sqft,,,98121,1069000,No
4,3,3160,sqft,4830,,98116,1425000,No
3,2,1305,sqft,4400,,98118,714000,No
3,2,2798,sqft,3667,,98109,1185000,Yes
4,2,2100,sqft,4799,,98199,1000000,Yes
3,2.5,1620,sqft,5000,,98117,885000,Yes
1,1,801,sqft,0.54,,98102,499995,Yes
5,2,2180,sqft,4000,,98144,927500,Yes
2,2,1025,sqft,,,98126,470000,No
3,2.5,1830,sqft,1929,,98116,1150000,No
3,2.5,1800,sqft,2380,,98126,715000,No
3,2,2470,sqft,4192,,98105,705000,No
2,1,2090,sqft,3290,,98103,820000,No
1,1,661,sqft,8255,,98102,415000,No
5,5,2440,sqft,0.36,,98115,1505000,No
3,1.5,1770,sqft,0.52,,98168,539000,No
3,2.5,1540,sqft,1189,,98107,756000,No
5,4,3510,sqft,5400,,98199,1735000,Yes
5,3,2480,sqft,5300,,98126,845000,Yes
4,2.5,1690,sqft,6000,,98108,399950,Yes
9,6,6139,sqft,5750,,98116,2800000,Yes
5,4,4770,sqft,9000,,98115,1140000,Yes
2,2,1353,sqft,,,98115,749000,No
3,1.5,1190,sqft,4800,,98108,197009,No
5,3.5,4280,sqft,4000,,98102,2300000,No
1,1,810,sqft,7500,,98108,385000,No
3,2,1540,sqft,3755,,98108,632500,No
3,2.5,1660,sqft,8450,,98146,695000,No
3,2,1640,sqft,4320,,98136,907500,No
2,1,1600,sqft,3750,,98117,852500,No
4,2,1300,sqft,6240,,98146,589950,Yes
2,2,1192,sqft,583,,98117,674800,Yes
2,1,720,sqft,4000,,98106,540000,Yes
2,2,1171,sqft,,,98103,685000,Yes
3,2.5,1390,sqft,1242,,98125,569995,Yes
4,1.5,2260,sqft,0.27,,98125,678000,Yes
2,1,585,sqft,0.31,,98107,430000,Yes
4,2.5,1333,sqft,1.22,,98118,476000,Yes
4,1,1530,sqft,7810,,98126,565000,Yes
2,1,1720,sqft,3175,,98144,619000,Yes
1,1,591,sqft,,,98121,405000,No
2,1,839,sqft,0.25,,98199,449000,No
2,2,886,sqft,1037,,98116,640000,No
1,1,872,sqft,,,98107,550000,No
4,3.5,2780,sqft,3060,,98146,900000,No
3,3.5,1770,sqft,1669,sqft,98107,1025000,No
4,2.5,3096,sqft,9375,sqft,98177,1870000,No
